	1976	1976	1980	1980	1984	1984	1988	1988	1992	1992	1996	1996	2000	2000	2004	2004	2008	2008	2012	2012
	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican	Democrat	Republican
OR	490407	492120	456890	571044	536479	685700	616206	560126	621314	475757	649641	538152	720342	713577	943163	866831	1037291	738475	970488	754175
PA	2328677	2205604	1937540	2261872	2228131	2584323	2194944	2300087	2239164	1791841	2215819	1801169	2485967	2281127	2938095	2793847	3276363	2655885	2990274	2680434
RI	227636	181249	198342	154793	197106	212080	225123	177761	213299	131601	233050	104683	249508	130555	259765	169046	296571	165391	279677	157204
SC	450825	346140	427560	441207	344470	615539	370554	606443	479514	577507	504051	573458	565561	785937	661699	937974	862449	1034896	865941	1071645
SD	147068	151505	103855	198343	116113	200267	145560	165415	124888	136718	139333	150543	118804	190700	149244	232584	170924	203054	145039	210610
TN	825879	633969	783051	787761	711714	990212	679794	947233	933521	841300	909146	863530	981720	1061949	1036477	1384375	1087437	1479178	960709	1462330
TX	2082319	1953300	1881147	2510705	1949276	3433428	2352748	3036829	2281815	2496071	2459683	2736167	2433746	3799639	2832704	4526917	3528633	4479328	3308124	4569843
UT	182110	337908	124266	439687	155369	469105	207343	428442	183429	322632	221633	361911	203053	515096	241199	663742	327670	596030	251813	740600
VT	81044	102085	81891	94598	95730	135865	115775	124331	133592	88122	137894	80352	149022	119775	184067	121180	219262	98974	199239	92698
VA	813896	836554	752174	989609	796250	1337078	859799	1309162	1038650	1150517	1091060	1138350	1217290	1437490	1454742	1716959	1959532	1725005	1971820	1822522
WA	717323	777732	650193	865244	807352	1051670	933516	903835	993037	731234	1123323	840712	1247652	1108864	1510201	1304894	1750848	1229216	1755396	1290670
WV	435914	314760	367462	334206	328125	405483	341016	310065	331001	241974	327812	233946	295497	336475	326541	423778	303857	397466	238269	417655
WI	1040232	1004987	981584	1088845	995847	1198800	1126794	1047499	1041066	930855	1071971	845029	1242987	1237279	1489504	1478120	1677211	1262393	1620985	1407966
WY	62239	92717	49427	110700	53370	133241	67113	106867	68160	79347	77934	105388	60481	147947	70776	167629	82868	164958	69286	170962
